title,summary,comment,authors,category,split
Self-supporting structure design in additive manufacturing through explicit topology optimization,"One of the challenging issues in additive manufacturing (AM) oriented topology optimization is how to design structures that are self-supportive in a manufacture process without introducing additional supporting materials. In the present contribution, it is intended to resolve this problem under an explicit topology optimization framework where optimal structural topology can be found by optimizing a set of explicit geometry parameters. Two solution approaches established based on the Moving Morphable Components (MMC) and Moving Morphable Voids (MMV) frameworks, respectively, are proposed and some theoretical issues associated with AM oriented topology optimization are also analyzed. Numerical examples provided demonstrate the effectiveness of the proposed methods.","81 pages, 45 figures","Xu Guo, Jianhua Zhou, Weisheng Zhang, Zongliang Du, Chang Liu, Ying Liu",physics,train
Nuclear Data and Fuel/Assembly Manufacturing Uncertainties Analysis and Preliminary Validation of SUACL,"As the sensitivity and uncertainty analysis of nuclear system can provide more confident bounds for the Best-estimate Prediction used to assess the performance and safety of nuclear plant, the uncertainty and sensitivity analysis has been a component of analysis of nuclear system. Both the cross section uncertainty and the uncertainty of parameters of fuel/assembly manufacturing are analyzed in this paper. All results of SUACL were found in accordance with the results of reference codes.238U and 235U play an important role in determining the uncertainty of Keff in TMI-1 cell. The uncertainty of Keff in MOX is mainly affected by 239Pu and 238U. It is obvious that the uncertainty mostly depends on the covariance library and insensitivities to cross section library. The uncertainties based on the covariance library obtained from ENDF/B-VII.1 differ from the result of JENDL4.0, which verified the relationship of covariance matrix and the uncertainty of cross section. And the parameters of fuel/assembly manufacturing uncertainty are comparable to uncertainty of some cross section, especially the 235U concentration, clad thickness. The uncertainty analysis of these parameters is of great significance to evaluate the parameter of actual cell and help to improve the model simulated. More attentions need paid to improve the accuracy of the parameters analysis talked in the paper.",,"JiaYi Xu, Xu Bo Ma, Fan Lu, Yi Xue Chen",physics,val
Pinhole induced efficiency variation in perovskite solar cells,"Process induced efficiency variation is a major concern for all thin film solar cells, including the emerging perovskite based solar cells. In this manuscript, we address the effect of pinholes or process induced surface coverage aspects on the efficiency of such solar cells through detailed numerical simulations. Interestingly, we find the pinhole size distribution affects the short circuit current and open circuit voltage in contrasting manners. Specifically, while the Jsc is heavily dependent on the pinhole size distribution, surprisingly, the Voc seems to be only nominally affected by it. Further, our simulations also indicate that, with appropriate interface engineering, it is indeed possible to design a nanostructured device with efficiencies comparable to that of ideal planar structures. Additionally, we propose a simple technique based on terminal IV characteristics to estimate the surface coverage in perovskite solar cells.",,"Sumanshu Agarwal, Pradeep R. Nair",physics,test
Giant electrostrain of 0.57% in a periodically orthogonal poled lead titanate zirconate ceramic via reversible domain switching,"The widely used ferroelectric ceramics based actuators always suffer from small output strains (typically ~0.1-0.15%). Non-180{\deg} domain switching can generate large strain in ferroelectrics but it is usually irreversible. In this work, we tailored the domain structures in a soft lead titanate zirconate (PZT) ceramic by periodically orthogonal poling. The non-180{\deg} switching in this domain-engineered PZT ceramics turns to be reversible, resulting in giant electrostrains up to 0.57% under a field of 2kV/mm (dynamic d33*(=S/E) of 2850pm/V). The large electrostrain keeps quite stable and even slightly increases after 10000 cycles of loading, which is very promising for next-generation large-strain actuators.","11 pages,6 figures","Faxin Li, Qiangzhong Wang, Hongchen Miao",physics,val
"Tunable, synchronized frequency down-conversion in magnetic lattices with defects","We study frequency conversion in nonlinear mechanical lattices, focusing on a chain of magnets as a model system. We show that by inserting mass defects at suitable locations, we can introduce localized vibrational modes that nonlinearly couple to extended lattice modes. The nonlinear interaction introduces an energy transfer from the high-frequency localized modes to a low-frequency extended mode. This system is capable of autonomously converting energy between highly tunable input and output frequencies, which need not be related by integer harmonic or subharmonic ratios. It is also capable of obtaining energy from multiple sources at different frequencies with a tunable output phase, due to the defect synchronization provided by the extended mode. Our lattice is a purely mechanical analog of an opto-mechanical system, where the localized modes play the role of the electromagnetic field, and the extended mode plays the role of the mechanical degree of freedom.",,"Marc Serra-Garcia, Miguel Molerón, Chiara Daraio",physics,train
The Response of Conductive-Fiber Reinforced Composites to Electric Field,"An analytical procedure, which couples electric, magnetic, thermal and mechanical effects is presented for the prediction of the response of unidirectional fiber-reinforced composites that are subjected to electric field, applied in the fibers' direction. It is assumed that at least one of the phases of the composite (e.g., the fibers) is electrically conductive, and that all phases are thermally conductive. The composite is assumed to occupy a finite, symmetric domain which is discretized into a double array of subcells. The governing equations, with the interfacial and boundary conditions, are satisfied in the integral sense. The externally applied field generates electric current, which induces a magnetic field as well as temperature increase. The mechanical deformation of the composite results from the combined effect of the ponderomotive force, which is created by the magnetic field, and the temperature distribution within the constituents. The purpose of the present paper is three-fold. (a) To perform quantitative analysis of the model for the ponderoromotive force in deformable media. (b) To present computational strong-form treatment of the magneto-mechanical boundary-value problem in a composite. (c) To suggest a computational apparatus for deriving the response of a sensor/actuator excited by an applied electric field or electric field gradient. Application is given, presenting the magnetic, thermal and mechanical field distributions, as well as the macroscopic (global) response of a composite, which consists, for simplicity, of two iron fibers embedded in an epoxy matrix.","32 pages, 18 figures","Nathan Perchikov, Jacob Aboudi",physics,val
The Effects of Superheating Treatment on Distribution of Eutectic Silicon Particles in A357-Continuous Stainless Steel Composite,"In the present study, superheating treatment has been applied on A357 reinforced with 0.5 wt. % (Composite 1) and 1.0 wt.% (Composite 2) continuous stainless steel composite. In Composite 1 the microstructure displayed poor bonding between matrix and reinforcement interface. Poor bonding associated with large voids also can be seen in Composite 1. The results also showed that coarser eutectic silicon (Si) particles were less intensified around the matrix-reinforcement interface. From energy dispersive spectrometry (EDS) elemental mapping, it was clearly shown that the distribution of eutectic Si particles were less concentrated at poor bonding regions associated with large voids. Meanwhile in Composite 2, the microstructure displayed good bonding combined with more concentrated finer eutectic Si particles around the matrix-reinforcement interface. From EDS elemental mapping, it was clearly showed more concentrated of eutectic Si particles were distributed at the good bonding area. The superheating prior to casting has influenced the microstructure and tends to produce finer, rounded and preferred oriented {\alpha}-Al dendritic structures.","6 pages, 6 figures","Mazlee Mohd Noor, Shamsul Baharin Jamaludin",physics,test
Time-Dependent Local Density Approximation for Collective Excitations of Atomic Clusters,"We discuss the calculation of collective excitations in atomic clusters using the time-dependent local density approximation. In principle there are many formulations of the TDLDA, but we have found that a particularly efficient method for large clusters is to use a coordinate space mesh and the algorithms for the operators and the evolution equations that had been developed for the nuclear time-dependent Hartree-Fock theory. The TDLDA works remarkably well to describe the strong excitations in alkali metal clusters and in carbon clusters. We show as an example the benzene molecule, which has two strong features in its spectrum. The systematics of the linear carbon chains is well reproduced, and may be understood in rather simple terms.",12 pages in Postscript,"G. F. Bertsch, K. Yabana",physics,train
Nonradiative Electronic Deexcitation Time Scales in Metal Clusters,"The life-times due to Auger-electron emission for a hole on a deep electronic shell of neutral and charged sodium clusters are studied for different sizes. We consider spherical clusters and calculate the Auger-transition probabilities using the energy levels and wave functions calculated in the Local-Density-Approximation (LDA). We obtain that Auger emission processes are energetically not allowed for neutral and positively charged sodium clusters. In general, the Auger probabilities in small Na$_N^-$ clusters are remarkably different from the atomic ones and exhibit a rich size dependence. The Auger decay times of most of the cluster sizes studied are orders of magnitude larger than in atoms and might be comparable with typical fragmentation times.","11 pages, 4 figures. Accepted for publication in Phys. Rev. B","M. E. Garcia, Ll. Serra, F. Garcias, K. H. Bennemann",physics,val
Oscillator strengths with pseudopotentials,The time-dependent local-density approximation (TDLDA) is shown to remain accurate in describing the atomic response of IB elements under the additional approximation of using pseudopotentials to treat the effects of core electrons. This extends the work of Zangwill and Soven who showed the utility of the all-electron TDLDA in the atomic response problem.,13 pages including 3 Postscript figures,"K. Yabana, G. F. Bertsch",physics,train
Cluster ionization via two-plasmon excitation,"We calculate the two-photon ionization of clusters for photon energies near the surface plasmon resonance. The results are expressed in terms of the ionization rate of a double plasmon excitation, which is calculated perturbatively. For the conditions of the experiment by Schlipper et al., we find an ionization rate of the order of 0.05-0.10 fs^(-1). This rate is used to determine the ionization probability in an external field in terms of the number of photons absorbed and the duration of the field. The probability also depends on the damping rate of the surface plasmon. Agreement with experiment can only be achieved if the plasmon damping is considerably smaller than its observed width in the room-temperature single-photon absorption spectrum.",17 pages and 6 PostScript figures,"G. F. Bertsch, N. Van Giai, N. Vinh Mau",physics,train
Dissociative Autoionization in (1+2)-photon Above Threshold Excitation of H2 Molecules,"We have theoretically studied the effect of dissociative autoionization on the photoelectron energy spectrum in (1+2)-photon above threshold ionization(ATI) of H2 molecules. We have considered excitation from the ground state X-singlet-Sigma-g+(v=0,j) to the doubly excited autoionizing states of singlet-Sigma-u+ and singlet-Pi-u+ symmetry, via the intermediate resonant B-singlet-Sigma-u+(v=5,j) states. We have shown that the photoelectron energy spectrum is oscillatory in nature and shows three distinct peaks above the photoelectron energy 0.7 eV. This feature has been observed in a recent experiment by Rottke et al, J. Phys. B, Vol. 30, p-4049 (1997).",11 pages and 4 figures,"Krishna Rai Dastidar, Ratan Kumar Das",physics,test
Noncollinear magnetic ordering in small Chromium Clusters,"We investigate noncollinear effects in antiferromagnetically coupled clusters using the general, rotationally invariant form of local spin-density theory. The coupling to the electronic degrees of freedom is treated with relativistic non-local pseudopotentials and the ionic structure is optimized by Monte-Carlo techniques. We find that small chromium clusters (N \le 13) strongly favor noncollinear configurations of their local magnetic moments due to frustration. This effect is associated with a significantly lower total magnetization of the noncollinear ground states, ameliorating the disagreement between Stern-Gerlach measurements and previous collinear calculations for Cr_{12} and Cr_{13}. Our results further suggest that the trend to noncollinear configurations might be a feature common to most antiferromagnetic clusters.","9 pages, RevTeX plus .eps/.ps figures","C. Kohl, G. F. Bertsch",physics,val
Optical response of small silver clusters,"The time-dependent local density approximation is applied to the optical response of the silver clusters, Ag_2, Ag_3, Ag_8 and Ag_9^+. The calculation includes all the electrons beyond the closed-shell Ag^{+11} ionic core, thus including for the first time explicitly the filled d-shell in the response. The excitation energy of the strong surface plasmon near 4 eV agrees well with experiment. The theoretical transition strength is quenched by a factor of 4 with respect to the pure s-electron sum rule in Ag_8 due to the d-electrons. A comparable amount of strength lies in complex states below 6 eV excitation. The total below 6 eV, about 50% of the s sum rule, is consistent with published experiments.",13 pages RevTex and 9 Postscript figures,"K. Yabana, G. F. Bertsch",physics,val
Orbital Magnetic Dipole Mode in Deformed Clusters: A Fully Microscopic Analysis,"The orbital M1 collective mode predicted for deformed clusters in a schematic model is studied in a self-consistent random-phase-approximation approach which fully exploits the shell structure of the clusters. The microscopic mechanism of the excitation is clarified and the close correlation with E2 mode established. The study shows that the M1 strength of the mode is fragmented over a large energy interval. In spite of that, the fraction remaining at low energy, well below the overwhelming dipole plasmon resonance, is comparable to the strength predicted in the schematic model. The importance of this result in view of future experiments is stressed.","10 pages, 3 Postscript figures, uses revtex","V. O. Nesterenko, W. Kleinig, F. F. de Souza Cruz, N. Lo Iudice",physics,train
Quantum Monte Carlo study of the H- impurity in small helium clusters,"We report ground state energies and structural properties for small helium clusters (4He) containing an H- impurity computed by means of variational and diffusion Monte Carlo methods. Except for 4He_2H- that has a noticeable contribution from collinear geometries where the H- impurity lies between the two 4He atoms, our results show that our 4He_NH- clusters have a compact 4He_N subsystem that binds the H- impurity on its surface. The results for $N\geq 3$ can be interpreted invoking the different features of the minima of the He-He and He-H- interaction potentials.","12 pages, 7 Ps figures","M. Casalegno, M. Mella, G. Morosi, D. Bressanini",physics,train
Tight-binding molecular dynamic study of silver clusters,"Tight-binding molecular dynamics (TBMD) is used to study the structural and electronic properties of silver clusters. The ground state structures of Ag clusters up to 21 atoms are optimized via TBMD combined with genetic algorithm (GA). The detailed comparison with {\em ab initio} results on small Ag$_n$ clusters (n=3-9) proves the validity of the tight-bind model. The clusters are found to undergo a transition from ``electronic order'' to ``atomic order'' at n=10. This is due to s-d mixing at such size. The size dependence of electronic properties such as density of states (DOS), s-d band separation, HOMO-LUMO gap, and ionization potentials are discussed. Magic number behavior at Ag$_2$, Ag$_8$, Ag$_{14}$, Ag$_{18}$, Ag$_{20}$ is obtained, in agreement with the prediction of electronic ellipsoid shell model. It is suggested that both the electronic and geometrical shell exist in the coinage metal clusters and they play a significant role in determining cluster properties.","10 pages, 6 figures",Jijun Zhao,physics,train
Retarded long-range potentials for the alkali-metal atoms and a perfectly conducting wall,The retarded long-range potentials for hydrogen and alkali-metal atoms in their ground states and a perfectly conducting wall are calculated. The potentials are given over a wide range of atom-wall distances and the validity of the approximations used is established.,"RevTeX, epsf, 11 pages, 2 figs","M. Marinescu, A. Dalgarno, J. F. Babb",physics,val
Eight-component differential equation for leptonium,"It is shown that the potential for lepton-antilepton bound states (leptonium) is the Fourier transform of the first Born approximation to the QED scattering amplitude in an 8-component equation, while 16-component equations are excluded. The Fourier transform is exact at all cms energies $-\infty < E < \infty$; the resulting atomic spectrum is explicitly CPT-invariant.","10 pages; no figures. The complete paper, including figures, is also
  available via anonymous ftp at ftp://ttpux2.physik.uni-karlsruhe.de/ , or via
  www at http://www-ttp.physik.uni-karlsruhe.de/cgi-bin/preprints/","R. Haeckl, V. Hund, H. Pilkuhn",physics,train
Formation of antihydrogen atoms in an ultra-cold positron-antiproton plasma,We discuss the formation of antihydrogen atoms ($\bar{\rm H}$) in an ultra-cold positron-antiproton plasma. For positron densities $n_p\agt 10^8$ cm$^{-3}$ the characteristic formation time of stable $\bar{H}$ is determined by collisional relaxation of highly excited atoms produced in the process of 3-body Thompson recombination. Relying on the mechanisms of ``replacement collisions'' and ``transverse collisional drift'' we find a bottleneck in the relaxation kinetics and analyze the physical consequences of this phenomenon.,"A talk given on ITAMP Workshop on Exotic Atoms, July 11-13, 1996;
  submitted to Physics Letters A; 3 pages, RevTeX",P. O. Fedichev,physics,train
Coherent Population Trapping with Losses on the Sodium D1 Line Hanle Effect,"We consider the coherent population trapping phenomenon in a thermal sodium atomic beam. We compare the different coherent population trapping schemes that can be established on the D1 line using the Zeeman sublevels of a given ground hyperfine state. The coherent population trapping preparation is examined by means of a Hanle effect configuration. The efficiency of the coherent population trapping phenomenon has been examined in presence of optical pumping into hyperfine levels external to those of the excited transition. We show that both the contrast and the width of the coherent population trapping resonance strongly decrease when the optical pumping rate is increased. In the experiment, the loss rate due to optical pumping has been controlled by means of a laser repump of variable intensity.","17 pages, RevTex and 8 figures, PostScript","F. Renzoni, W. Maichen, L. Windholz, E. Arimondo",physics,train
Ramsey type Sub-Recoil Cooling,We experimentally study the motion of atoms interacting with a periodically pulsed near resonant standing wave. For discrete pulse frequencies we observe a comb-like momentum distribution. The peaks have widths of 0.3 recoil momenta and a spacing which is an integer multiple of the recoil momentum. The atomic population is trapped in ground states which periodically evolve to dark states each time the standing wave is switched on.,"4 pages, 3 figures. LaTeX/RevTeX (uses psfig). Submitted to Phys.
  Rev. Lett","Frank Sander, Thibaut Devolder, Tilman Esslinger, Theodor W. Hansch",physics,val
Band Population Measurements in a Purely Optical Dark Lattice,"We create a dark optical lattice structure using a blue detuned laser field coupling an atomic ground state of total angular momentum F simultaneously to two excited states with angular momenta F and F-1, or F and F+1. The atoms are trapped at locations of purely circular polarization. The cooling process efficiently accumulates almost half of the atomic population in the lowest energy band which is only weakly coupled to the light field. The populations of the two lowest energy bands reaches 70%. Kinetic energies on the order of the recoil energy are obtained by adiabatically reducing the optical potential. The band populations are directly mapped on free particle momentum intervals by this adiabatic release. In an experiment with subrecoil momentum resolution we measure the band populations and find good absolute agreement with the theoretically calculated steady state band populations.","4 pages, 4 figures. LaTeX/RevTeX (uses psfig). Submitted to OSA TOPS
  Volume on Ultracold Atoms and BEC '96","Frank Sander, Tilman Esslinger, Theodor W. Hansch, Herwig Stecher, Helmut Ritsch",physics,test
An all-optical gray lattice for atoms,We create a gray optical lattice structure using a blue detuned laser field coupling an atomic ground state of angular momentum J simultaneously to two excited states with angular momenta J and J-1. The atoms are cooled and trapped at locations of purely circular polarization. The cooling process efficiently accumulates almost half of the atomic population in the lowest energy band which is only weakly coupled to the light field. Very low kinetic temperatures are obtained by adiabatically reducing the optical potential. The dynamics of this process is analysed using a full quantum Monte Carlo simulation. The calculations explicitly show the mapping of the band populations on the corresponding momentum intervals of the free atom. In an experiment with subrecoil momentum resolution we measure the band populations and find excellent absolut agreement with the theoretical calculations.,"8 pages, 8 figures. LaTeX/RevTeX (uses epsfig). Scheduled for Phys.
  Rev. A (Dec 01, 1996)","H. Stecher, H. Ritsch, P. Zoller, F. Sander, T. Esslinger, T. W. Hansch",physics,train
On the squared spin-orbit correction to the positronium fine-structure splitting,"In the recent paper by Zhang the order $\alpha^4 R_{\infty}$ corrections to the positronium P levels were reconsidered. Those calculations confirm our corresponding results, except for the contribution due to the squared spin-orbit interaction. We present here a new derivation of our previous result for this last correction, this derivation being to our opinion both simple and convincing.","3 pages, Latex","I. B. Khriplovich, A. I. Milstein, A. S. Yelkhovsky",physics,train
Ejection Energy of Photoelectrons in Strong Field Ionization,"We show that zero ejection energy of the photoelectrons is classically impossible for hydrogen-like ions, even when field ionization occurs adiabatically. To prove this we transform the basic equations to those describing two 2D anharmonic oscillators. The same method yields an alternative way to derive the anomalous critical field of hydrogen-like ions. The analytical results are confirmed and illustrated by numerical simulations. PACS Number: 32.80.Rm","7 pages, REVTeX, postscript file including the figures is available
  at http://www.physik.th-darmstadt.de/tqe/dieter/publist.html or via anonymous
  ftp from ftp://tqe.iap.physik.th-darmstadt.de/pub/dieter/publ_I_pra_pre.ps,
  accepted for publication in Phys. Rev. A",D. Bauer,physics,train
Adiabatically changing the phase-space density of a trapped Bose gas,"We show that the degeneracy parameter of a trapped Bose gas can be changed adiabatically in a reversible way, both in the Boltzmann regime and in the degenerate Bose regime. We have performed measurements on spin-polarized atomic hydrogen in the Boltzmann regime demonstrating reversible changes of the degeneracy parameter (phase-space density) by more than a factor of two. This result is in perfect agreement with theory. By extending our theoretical analysis to the quantum degenerate regime we predict that, starting close enough to the Bose-Einstein phase transition, one can cross the transition by an adiabatic change of the trap shape.","4 pages, 3 figures, Latex, submitted to PRL","P. W. H. Pinkse, A. Mosk, M. Weidemüller, M. W. Reynolds, T. W. Hijmans, J. T. M. Walraven",physics,train
Numerical observation of non-axisymmetric vesicles in fluid membranes,"By means of Surface Evolver (Exp. Math,1,141 1992), a software package of brute-force energy minimization over a triangulated surface developed by the geometry center of University of Minnesota, we have numerically searched the non-axisymmetric shapes under the Helfrich spontaneous curvature (SC) energy model. We show for the first time there are abundant mechanically stable non-axisymmetric vesicles in SC model, including regular ones with intrinsic geometric symmetry and complex irregular ones. We report in this paper several interesting shapes including a corniculate shape with six corns, a quadri-concave shape, a shape resembling sickle cells, and a shape resembling acanthocytes. As far as we know, these shapes have not been theoretically obtained by any curvature model before. In addition, the role of the spontaneous curvature in the formation of irregular crenated vesicles has been studied. The results shows a positive spontaneous curvature may be a necessary condition to keep an irregular crenated shape being mechanically stable.","RevTex, 14 pages. A hard copy of 8 figures is available on request","Yan Jie, Liu Quan-Hui, Liu Ji-Xing, Ou-Yang Zhong-Can",physics,val
Experimental evidence for a power law in electroencephalographic $α$-wave dynamics,"We perform an experimental study of the time behavior of the $\alpha$-wave events occuring in human electroencephalographic signals. We find that the fraction of the time spent in an $\alpha$-burst of time size $\tau$ exhibits a scaling behavior as a function of $\tau$. The corresponding exponent is equal to 1.75$\pm$0.13. We therefore point out the existence of a new power law appearing in physiology. Furhtermore, we show that our experimental result may have a possible explanation within a class of Self-Organized Critical (SOC) models recently proposed by Boettcher and Paczuski. In particular, one of these models, when properly re-interpreted, seems to be consistent both with our result and a commonly accepted physiological description of the possible origin of $\alpha$-wave events.","7 pages, 2 figures","Y. Georgelin, L. Poupard, R. Sartene, J. C. Wallet",physics,test
DNA - Nanoelectronics: Realization of a Single Electron Tunneling Transistor and a Quantum Bit Element,"Based on the understanding that chemical bonds can act as tunnel junctions in the Coulomb blockade regime, and on the technical ability to coat a DNA strand with metal, we suggest that DNA can be used to built logical devices. We discuss two explicit examples: a Single Electron Tunneling Transistor (SET) and a Quantum Bit Element. These devices would be literally in the nano-meter scale and would be able to operate at room temperature. In addition they would be identical to each other, highly stable and would have a self assembly property.","3 pages, RevTex, 4 PostScript figures","Eshel Ben-Jacob, Ziv Hermon, Shay Caspi",physics,val
The Scaling Behaviour of Stochastic Minimization Algorithms in a Perfect Funnel Landscape,"We determined scaling laws for the numerical effort to find the optimal configurations of a simple model potential energy surface (PES) with a perfect funnel structure that reflects key characteristics of the protein interactions. Generalized Monte-Carlo methods(MCM, STUN) avoid an enumerative search of the PES and thus provide a natural resolution of the Levinthal paradox. We find that the computational effort grows with approximately the eighth power of the system size for MCM and STUN, while a genetic algorithm was found to scale exponentially. The scaling behaviour of a derived lattice model is also rationalized.","accepted for publication in Phys. Rev. E, January 1999","K. Hamacher, W. Wenzel",physics,train
A Note on Eye Movement,"In a simplified fashion, the motion of the eyeball in its orbit consists of rotations around a fixed point. Therefore, this motion can be described in terms of the Euler's angles of rigid body dynamics. However, there is a physiological constraint in the motion of the eye which reduces to two its degrees of freedom. This paper reviews the basic features of the kinematics of the eye and the laws governing its motion.",,"Oscar Bolina, L. H. A. Monteiro",physics,val
Order parametr for design of proteinlike heteropolymers,"preprint withdrawn. A revised version of this paper, with different authors appears in E. Nelson, P. Wolynes, and J. Onuchic, in Optimization in computational chemistry and molecular biology, C. Floudas and P. Pardalos editors, (1999)). The main failing of my approach in these papers is the fact that the Hamiltonian and order parameters are based on pair distances only, and therefore do not break the local gauge (reflection) symmetry. Consequently, the order parameters cannot detect the difference between (for example) a partially compact topology and its mirror image. I take full responsibility for this problem, the withdrawal of this preprint, and the comments made above. Erik D. Nelson","16 pages, 5 figures, figures 4 and 5 have two .eps files each
  WITHDRAWN by submitter due to weakness of approach","E. Nelson, L. Ten Eyck, J. Onuchic",physics,val
Structural information from multilamellar liposomes at full hydration: full q-range fitting with high quality X-ray data,"We present a novel method for analyzing Small Angle X-ray Scattering data on multilamellar phospholipid bilayer systems at full hydration. The method utilizes a modified Caille' theory structure factor in combination with a Gaussian model representation of the electron density profile such that it accounts also for the diffuse scattering between Bragg peaks. Thus, the method can retrieve structural information even if only a few orders of diffraction are observed. We further introduce a new procedure to derive fundamental parameters, such as area per lipid, membrane thickness, and number of water molecules per lipid, directly from the electron density profile without the need of additional volumetric measurements. The theoretical apparatus is applied to experimental data on 1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine and 1,2-dipalmitoyl-sn-glycero-3-phosphoethanolamine liposome preparations.","37 pages, from MS Word, includes references, 2 tables, figure
  captions & 6 figures. Paper submitted to Phys. Rev. E (Nov. 1999)","Georg Pabst, Michael Rappolt, Heinz Amenitsch, Peter Laggner",physics,train
X-Ray Kinematography of Temperature-Jump Relaxation Probes the Elastic Properties of Fluid Bilayers,"The response kinetics of liquid crystalline phosphatidylcholine bilayer stacks to rapid, IR-laser induced temperature jumps has been studied by millisecond time-resolved x-ray diffraction. The system reacts on the fast temperature change by a discrete bilayer compression normal to its surface and a lateral bilayer expansion. Since water cannot diffuse from the excess phase into the interbilayer water region within the 2 ms duration of the laser pulse, the water layer has to follow the bilayer expansion, by an anomalous thinning. Structural analysis of a 20 ms diffraction pattern from the intermediate phase indicates that the bilayer thickness remains within the limits of isothermal equilibrium values. Both, the intermediate structure and its relaxation into the original equilibrium L_(alpha)-phase, depend on the visco-elastic properties of the bilayer/water system. We present an analysis of the relaxation process by an overdamped one-dimensional oscillation model revealing the concepts of Hooke's law for phospholipid bilayers on a supramolecular basis. The results yield a constant bilayer repulsion and viscosity within Hooke's regime suggesting that the hydrocarbon chains act as a buffer for the supplied thermal energy. The bilayer compression is a function of the initial temperature and the temperature amplitude, but is independent of the chain length.","40 pages, from MS Word, 9 figures. Paper submitted for publication to
  Biophys. J. (Dec. 1999)","Georg Pabst, Michael Rappolt, Heinz Amenitsch, Sigrid Bernstorff, Peter Laggner",physics,train
Physical Aspects of Axonemal Beating and Swimming,"We discuss a two-dimensional model for the dynamics of axonemal deformations driven by internally generated forces of molecular motors. Our model consists of an elastic filament pair connected by active elements. We derive the dynamic equations for this system in presence of internal forces. In the limit of small deformations, a perturbative approach allows us to calculate filament shapes and the tension profile. We demonstrate that periodic filament motion can be generated via a self-organization of elastic filaments and molecular motors. Oscillatory motion and the propagation of bending waves can occur for an initially non-moving state via an instability termed Hopf bifurcation. Close to this instability, the behavior of the system is shown to be independent of microscopic details of the axoneme and the force-generating mechanism. The oscillation frequency however does depend on properties of the molecular motors. We calculate the oscillation frequency at the bifurcation point and show that a large frequency range is accessible by varying the axonemal length between 1 and 50$\mu$m. We calculate the velocity of swimming of a flagellum and discuss the effects of boundary conditions and externally applied forces on the axonemal oscillations.","14 pages, 8 figures, REVTEX","Sebastien Camalet, Frank Julicher",physics,val
The Architecture of Idiotypic Networks: Percolation and Scaling Behaviour,"We investigate a model where idiotypes (characterizing B-lymphocytes and antibodies of an immune system) and anti-idiotypes are represented by complementary bitstrings of a given length d allowing for a number of mismatches (matching rules). In this model, the vertices of the hypercube in dimension d represent the potential repertoire of idiotypes. A random set of (with probability p) occupied vertices corresponds to the expressed repertoire of idiotypes at a given moment. Vertices of this set linked by the above matching rules build random clusters. We give a structural and statistical characterisation of these clusters - or in other words - of the architecture of the idiotypic network. Increasing the probability p one finds at a critical p a percolation transition where for the first time a large connected graph occures with probability one. Increasing p further, there is a second transition above which the repertoire is complete in the sense that any newly introduced idiotype finds a complementary anti-idiotype. We introduce structural characteristics such as the mass distributions and the fragmentation rate for random clusters, and determine the scaling behaviour of the cluster size distribution near the percolation transition, including finite size corrections. We find that slightly above the percolation transition the large connected cluster (the central part of the idiotypic network) consists typically of one highly connected part and a number of weakly connected constituents and coexists with a number of small, isolated clusters. This is in accordance with the picture of a central and a peripheral part of the idiotypic network and gives some support to idealized architectures of the central part used in recent dynamical mean field models.","20 pages, 12 figures, Calculations in Section IV are explained in
  more detail. Data in Figs. 3 and 9 are normalized to enable comparison. Typos
  are removed","Markus Brede, Ulrich Behn",physics,test
A Simplified Approach to Optimally Controlled Quantum Dynamics,"A new formalism for the optimal control of quantum mechanical physical observables is presented. This approach is based on an analogous classical control technique reported previously[J. Botina, H. Rabitz and N. Rahman, J. chem. Phys. Vol. 102, pag. 226 (1995)]. Quantum Lagrange multiplier functions are used to preserve a chosen subset of the observable dynamics of interest. As a result, a corresponding small set of Lagrange multipliers needs to be calculated and they are only a function of time. This is a considerable simplification over traditional quantum optimal control theory[S. shi and H. Rabitz, comp. Phys. Comm. Vol. 63, pag. 71 (1991)]. The success of the new approach is based on taking advantage of the multiplicity of solutions to virtually any problem of quantum control to meet a physical objective. A family of such simplified formulations is introduced and numerically tested. Results are presented for these algorithms and compared with previous reported work on a model problem for selective unimolecular reaction induced by an external optical electric field.","Revtex, 29 pages (incl. figures)","Jair Botina, Herschel Rabitz, Naseem Rahman",physics,val
Influence of the Head Group Size on the Direction of Tilt in Langmuir Monolayers,"A model of rods with heads of variable size, which are confined to a planar surface, is used to study the influence of the head group size on tilted phases in Langmuir monolayers. Simple free energy considerations as well as exact zero temperature calculations indicate that molecules with small head groups tilt towards next nearest neighbors, and molecules with larger head groups towards nearest neighbors. This provides a possible explanation for recent experimental results, and for details of the generic phase diagram for fatty acid monolayers.",to appear in J. Chem. Phys,"F. Schmid, H. Lange",physics,val
Origin of entropy convergence in hydrophobic hydration and protein folding,An information theory model is used to construct a molecular explanation why hydrophobic solvation entropies measured in calorimetry of protein unfolding converge at a common temperature. The entropy convergence follows from the weak temperature dependence of occupancy fluctuations for molecular-scale volumes in water. The macroscopic expression of the contrasting entropic behavior between water and common organic solvents is the relative temperature insensitivity of the water isothermal compressibility. The information theory model provides a quantitative description of small molecule hydration and predicts a negative entropy at convergence. Interpretations of entropic contributions to protein folding should account for this result.,"Phys. Rev. Letts. (in press 1996), 3 pages, 3 figures","Shekhar Garde, Gerhard Hummer, Angel E. Garcia, Michael E. Paulaitis, Lawrence R. Pratt",physics,train
